"siteID","month1","month2","month3"
"US-Ton",4,5,6
"US-SRM",8,9,7
"AU-RDF",1,2,12
"AU-How",1,2,12
"AU-Gin",11,12,10
"AU-Ade",1,3,12
"US-Tw4",8,9,7
"US-Tw1",7,8,6
"US-ORv",6,5,8
"US-Myb",7,8,6
"US-Los",7,6,8
"RU-Che",7,8,6
"NO-Adv",7,6,8
"FI-Lom",7,8,6
"DK-ZaF",7,8,6
"DK-NuF",7,8,6
"DE-Spw",6,7,8
"DE-SfN",6,7,8
"DE-Akm",6,7,8
"CZ-wet",6,7,5
"CN-Ha2",7,8,6
"AU-Fog",1,2,3
"NO-Blv",7,8,6
"ZA-Kru",12,1,2
"SN-Dhr",8,9,7
"SD-Dem",8,9,7
"AU-GWW",2,3,1
"AU-Dry",3,1,2
"AU-DaS",2,1,12
"AU-Cpr",3,1,12
"US-Wi6",7,8,6
"US-Whs",8,9,7
"RU-Cok",7,8,6
"ES-Ln2",10,12,9
"ES-LgS",6,7,5
"CA-SF3",7,8,6
"CA-NS7",7,8,6
"CA-NS6",7,8,6
"AU-TTE",12,6,5
"US-Syv",7,6,8
"US-PFa",7,6,8
"JP-SMF",7,6,8
"CN-Cha",7,6,8
"CH-Lae",6,7,8
"BE-Vie",6,7,8
"BE-Bra",6,7,8
"AR-SLu",1,11,12
"US-Wkg",8,9,7
"US-Var",4,3,2
"US-SRG",8,7,9
"US-Cop",5,6,4
"US-ARc",6,7,5
"US-ARb",6,7,5
"US-AR2",6,5,4
"US-AR1",5,6,4
"RU-Ha1",6,7,8
"NL-Hor",6,7,5
"IT-Tor",7,8,6
"IT-MBo",6,7,8
"DK-ZaH",7,8,6
"DE-RuR",5,6,7
"DE-Gri",7,5,6
"CZ-BK2",7,6,8
"CN-Sw2",12,5,1
"CN-HaM",7,8,6
"CN-Du2",8,7,9
"CN-Dan",8,7,9
"CN-Cng",7,8,6
"CH-Oe1",6,5,7
"CH-Fru",5,6,8
"CH-Cha",6,7,8
"AU-Ync",9,8,10
"AU-Stp",3,4,2
"AU-Rig",9,10,8
"AU-Emr",8,9,11
"AU-DaP",2,1,3
"AT-Neu",5,7,6
"US-Wi9",7,6,8
"US-Wi4",7,6,8
"US-Wi0",7,8,4
"US-Prr",7,6,8
"US-NR1",7,6,8
"US-Me6",6,7,5
"US-Me2",6,7,5
"US-Me1",7,6,8
"US-GLE",7,8,6
"US-GBT",7,8,6
"US-Blo",7,6,8
"RU-Fyo",7,6,8
"NL-Loo",7,6,8
"IT-SRo",6,5,7
"IT-SR2",6,7,8
"IT-Ren",7,6,8
"IT-Lav",7,6,5
"IT-La2",7,6,5
"FR-LBr",6,7,5
"FI-Sod",7,6,8
"FI-Hyy",7,6,8
"DE-Tha",6,7,5
"DE-Obe",7,6,8
"DE-Lkb",7,6,8
"CZ-BK1",6,7,8
"CN-Qia",8,6,5
"CH-Dav",7,6,8
"CA-SF2",7,8,6
"CA-SF1",7,8,6
"CA-Qfo",7,8,6
"CA-NS5",7,8,6
"CA-NS4",7,8,6
"CA-NS3",7,6,8
"CA-NS2",7,6,8
"CA-NS1",6,7,8
"CA-Man",7,6,8
"AU-ASM",3,2,4
"AR-Vir",11,2,12
"IT-Cpz",6,5,7
"IT-Cp2",8,6,7
"GF-Guy",8,7,9
"FR-Pue",6,5,4
"CN-Din",9,10,8
"BR-Sa3",10,12,3
"AU-Wom",12,1,11
"AU-Whr",10,11,1
"AU-Wac",1,10,11
"AU-Tum",1,12,2
"AU-Rob",3,1,2
"AU-Cum",3,4,12
"ZM-Mon",12,1,2
"US-Wi3",7,8,6
"US-WCr",7,8,6
"US-UMd",7,6,8
"US-UMB",7,6,8
"US-MMS",6,7,8
"US-Ha1",7,6,8
"JP-MBF",8,7,6
"IT-Ro2",6,5,7
"IT-Ro1",6,5,7
"IT-PT1",6,7,5
"IT-Isp",6,7,8
"IT-Col",6,7,8
"IT-CA3",6,7,5
"IT-CA1",5,6,7
"FR-Fon",6,7,8
"DK-Sor",6,7,5
"DE-Hai",6,7,8
"AU-Lox",1,12,11
"US-KS2",7,6,5
"IT-Noe",5,4,6
"US-Twt",8,7,9
"US-Tw3",4,7,5
"US-Tw2",8,7,9
"US-Ne3",7,8,6
"US-Ne2",7,8,6
"US-Ne1",7,8,6
"US-ARM",4,5,3
"IT-CA2",4,5,3
"IT-BCi",7,8,6
"FR-Gri",5,6,4
"FI-Jok",7,6,8
"DK-Fou",8,7,9
"DE-Seh",6,5,7
"DE-RuS",6,7,8
"DE-Kli",6,5,7
"DE-Geb",6,5,7
"CH-Oe2",5,6,4
"BE-Lon",6,7,5
"DE-Seh",6,5,7
